"Catalysed","촉진된"
"Saturated","포화된"
"Cautious","조심스러운"
"Panicked","허둥대는"
"Bubbling","부글대는"
"Seething","끓어오르는"
"Caustic","부식성"
"Sapping","활력 감소의"
"of Heat","열의"
"of Dousing","물벼락의"
"of Staunching","징계의"
"of Grounding"," 접지 "
"Ample","풍족한"
"Perpetual","영속적인"
"of Iron Skin","철 피부"
"of Reflexes","반사 신경"
"of Adrenaline","아드레날린"
"of Steadiness","꾸준한"
"of Resistance","저항"
"of Gluttony","폭식의"
"of Craving","갈망의"
"of Fending","펜딩의"
"of Animation","애니메이션"
"Surgeon's","의사의"
"Avenger's","어벤저"
"of Curing","치료의"
"Alchemist's","연금술사의"
"Chemist's","화학자의"
"Experimenter's","실험자의"
"Flagellant's","고행자의"
"Concentrated","밀집된"
"Foreboding","불길한"
"Enduring","인내의"
"of Bloodletting"," 출혈과다 "
"of Draining"," 고갈 "
"of Acceleration","가속의"
"of Quickening","빠른"
"of Infliction"," 형벌 "
"of Efficiency","효율성"
"of Warding"," 수호 "
"of Runeflaring","룬 플라 링"
"of Precision","정밀한"
"Undiluted","희석되지 않은"
"Thickened","두터움의"
"Viscous","점성 있는"
"Condensed","농축된"
"Substantial","묵직한"
"Opaque","불투명한"
"Full-bodied","진한"
"Prudent","신중한"
"Prepared","준비된"
"Wary","경계하는"
"Careful","조심하는"
"Startled","흠칫 놀란"
"Frightened","겁먹은"
"Alarmed","곤두선"
"Terrified","겁에 질린"
"Simmering","보글거리는"
"Ebullient","넘치는"
"Effusive","분출하는"
"Effervescent","거품 이는"
"Aged","숙성된"
"Fermented","발효된"
"Congealed","굳은"
"Turbid","탁한"
"Impairing","손상시키는"
"Dizzying","아찔한"
"Depleting","동내는"
"Vitiating","저하시키는"
"Wide","넓은"
"Plentiful","풍요한"
"Bountiful","풍성한"
"Abundant","풍부한"
"Constant","지속적인"
"Continuous","계속되는"
"Endless","끝없는"
"Bottomless","바닥이 없는"
"Doled","배급되는"
"Provisioned","보급되는"
"Measured","측정되는"
"Allocated","할당되는"
"Rationed","분배되는"
"of the Abalone"," 전복 "
"of the Tortoise"," 거북 "
"of the Pangolin"," 천산갑 "
"of the Armadillo"," 아르마딜로 "
"of the Gazelle"," 가젤 "
"of the Antelope"," 영양 "
"of the Ibex"," 아이벡스 "
"of the Impala"," 임팔라 "
"of the Hare"," 산토끼 "
"of the Lynx"," 스라소니 "
"of the Cheetah"," 치타 "
"of Stiffness"," 뻣뻣함 "
"of Bracing"," 버팀 "
"of Ballast"," 무게추 "
"of Counterpoise"," 평형력 "
"of Stabilisation"," 안정화 "
"of the Crystal"," 결정 "
"of the Prism"," 분광기 "
"of the Kaleidoscope"," 만화경 "
"of Variegation"," 얼룩무늬 "
"of the Rainbow"," 무지개 "
"of the Novice"," 초짜 "
"of the Acolyte"," 조수 "
"of the Summoner"," 소환자 "
"of the Conjurer"," 요술사 "
"of the Necromancer"," 네크로맨서 "
"Medic's","의무병의"
"Physician's","의원의"
"Doctor's","의사의"
"Specialist's","전문가의"
"Abecedarian's","초보자의"
"Dabbler's","초심자의"
"Apprentice's","수습생의"
"Scholar's","학자의"
"Practitioner's","실무자의"
"Brewer's","조제자의"
"Investigator's","조사관의"
"Analyst's","분석가의"
"Examiner's","조사자의"
"Clinician's","임상의의"
"Delinquent's","불량아의"
"Transgressor's","범법자의"
"Sinner's","죄인의"
